Inf,0.001,0.01,0.1,1,10,100,1000,10000
0.0001,0.71,0.73929,0.67357,0.64714,0.72643,0.7,0.7,0.71071
0.001,0.72857,0.655,0.64643,0.74786,0.7,0.675,0.73071,0.73071
0.01,0.64571,0.47929,0.70571,0.74429,0.69643,0.60786,0.6,0.745
