Inf,0.001,0.01,0.1,1,10,100,1000,10000
0.0001,0.73699,0.77299,0.69778,0.67831,0.70644,0.72187,0.69261,0.73633
0.001,0.71293,0.75071,0.66057,0.76927,0.70841,0.68534,0.78985,0.74554
0.01,0.68137,0.4803,0.70864,0.75377,0.69033,0.5531,0.54629,0.76445
