Inf,0.001,0.01,0.1,1,10,100,1000,10000
0.0001,0.67429,0.67786,0.39786,0.70929,0.68643,0.69357,0.68643,0.71643
0.001,0.48643,0.64929,0.52857,0.71143,0.67857,0.68214,0.69143,0.66929
0.01,0.67786,0.69357,0.67071,0.67929,0.68,0.68929,0.67143,0.68857
